COUNTRY	PROVINCE	COUNTY	Country_cd	Province_cd	Continent	Region	ACTIVE	PEOPLE_TESTED	CONFIRMED	PEOPLE_HOSPITALIZED	DEATHS	RECOVERED	INCIDENT_RATE	TESTING_RATE	HOSPITALIZATION_RATE	MORTALITY_RATE	LONG	LAT	LAST_REPORTED_FLAG
United States	South Carolina	Abbeville	US	SC	America	Americas	37	0	37	0	0	0	150.8541607	0	0	0	-82.46170658	34.22333378	FALSE
United States	Louisiana	Acadia	US	LA	America	Americas	379	0	401	0	22	0	646.3051011	0	0	0	-92.41419698	30.2950649	FALSE
United States	Virginia	Accomack	US	VA	America	Americas	815	0	827	0	12	0	2559.103849	0	0	0	-75.63234615	37.76707161	FALSE
United States	Idaho	Ada	US	ID	America	Americas	781	0	803	0	22	0	166.7403813	0	0	0	-116.2415516	43.4526575	FALSE
United States	Iowa	Adair	US	IA	America	Americas	9	0	9	0	0	0	125.8389262	0	0	0	-94.47105874	41.33075609	FALSE
United States	Kentucky	Adair	US	KY	America	Americas	77	0	96	0	19	0	499.9479221	0	0	0	-85.28129668	37.10459774	FALSE
United States	Missouri	Adair	US	MO	America	Americas	49	0	49	0	0	0	193.3472754	0	0	0	-92.60078167	40.19058551	FALSE
United States	Oklahoma	Adair	US	OK	America	Americas	82	0	85	0	3	0	382.9863927	0	0	0	-94.65859267	35.88494195	FALSE
United States	Colorado	Adams	US	CO	America	Americas	2952	0	3070	0	118	0	593.3272905	0	0	0	-104.3362578	39.87432092	FALSE
United States	Idaho	Adams	US	ID	America	Americas	3	0	3	0	0	0	69.86492781	0	0	0	-116.4545247	44.89333571	FALSE
United States	Illinois	Adams	US	IL	America	Americas	43	0	44	0	1	0	67.24230152	0	0	0	-91.18786813	39.98815591	FALSE
United States	Indiana	Adams	US	IN	America	Americas	12	0	13	0	1	0	36.33619364	0	0	0	-84.93671406	40.7457653	FALSE
United States	Iowa	Adams	US	IA	America	Americas	7	0	7	0	0	0	194.3364797	0	0	0	-94.69932645	41.02903567	FALSE
United States	Mississippi	Adams	US	MS	America	Americas	175	0	190	0	15	0	619.0336559	0	0	0	-91.35326037	31.47669768	FALSE
United States	Nebraska	Adams	US	NE	America	Americas	254	0	265	0	11	0	844.94468	0	0	0	-98.50117804	40.5244942	FALSE
United States	Ohio	Adams	US	OH	America	Americas	7	0	8	0	1	0	28.88295184	0	0	0	-83.4718964	38.84541072	FALSE
United States	Pennsylvania	Adams	US	PA	America	Americas	234	0	241	0	7	0	233.9601394	0	0	0	-77.21610347	39.87140411	FALSE
United States	Washington	Adams	US	WA	America	Americas	54	0	54	0	0	0	270.2296952	0	0	0	-118.5601734	46.98299757	FALSE
United States	Wisconsin	Adams	US	WI	America	Americas	3	0	4	0	1	0	19.78239367	0	0	0	-89.76782777	43.96974651	FALSE
