Country,Region,CATEGORY,MEASURE,TARGETED_POP_GROUP,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE_TYPE,ENTRY_DATE,Country_cd
Afghanistan,Asia,Public health measures,Health screenings in airports and border crossings,No,,2/12/2020,Government,3/14/2020,AF
Afghanistan,Asia,Public health measures,Isolation and quarantine policies,No,,2/12/2020,Government,3/14/2020,AF
Afghanistan,Asia,Public health measures,Awareness campaigns,No,,2/12/2020,Government,3/14/2020,AF
Afghanistan,Asia,Governance and socio-economic measures,Emergency administrative structures activated or established,No,,2/12/2020,Government,3/14/2020,AF
Afghanistan,Asia,Social distancing,Limit public gatherings,No,,3/12/2020,Media,3/14/2020,AF
Afghanistan,Asia,Movement restrictions,Border closure ,No,,2/24/2020,Media,3/14/2020,AF
Afghanistan,Asia,Social distancing,Schools closure ,No,,3/1/2020,UN,3/14/2020,AF
Afghanistan,Asia,Social distancing,Limit public gatherings,No,,3/1/2020,UN,3/14/2020,AF
Afghanistan,Asia,Public health measures,Strengthening the public health system,No,,3/1/2020,UN,3/14/2020,AF
Afghanistan,Asia,Governance and socio-economic measures,Limit product imports/exports,No,,3/1/2020,Government,3/14/2020,AF
Afghanistan,Asia,Movement restrictions,Border checks ,Yes,,2/1/2020,Government,3/14/2020,AF
Afghanistan,Asia,Public health measures,Awareness campaigns,No,,1/24/2020,Government,4/7/2020,AF
Afghanistan,Asia,Public health measures,Health screenings in airports and border crossings,Yes,,1/26/2020,Government,4/7/2020,AF
Afghanistan,Asia,Movement restrictions,International flights suspension,Yes,,1/27/2020,Government,4/7/2020,AF
Afghanistan,Asia,Public health measures,Health screenings in airports and border crossings,No,,1/27/2020,Government,4/7/2020,AF
Afghanistan,Asia,Public health measures,Strengthening the public health system,Yes,,2/2/2020,Government,4/7/2020,AF
Afghanistan,Asia,Public health measures,Isolation and quarantine policies,No,,2/2/2020,Government,4/7/2020,AF
Afghanistan,Asia,Public health measures,Awareness campaigns,No,,2/4/2020,Government,4/7/2020,AF
Afghanistan,Asia,Public health measures,Strengthening the public health system,No,,2/4/2020,Government,4/7/2020,AF
Afghanistan,Asia,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,,2/6/2020,Government,4/7/2020,AF
Afghanistan,Asia,Public health measures,Awareness campaigns,Yes,,2/8/2020,Government,4/7/2020,AF
