ISO3166_1,ISO3166_2,FIPS,LATITUDE,LONGITUDE,STATE,COUNTY,TOTAL_POPULATION,TOTAL_MALE_POPULATION,TOTAL_FEMALE_POPULATION
US,LA,22061,32.5850295,-92.4427885,LA,Lincoln Parish,47480,23134,24346
US,LA,22063,30.3897408,-90.5260293,LA,Livingston Parish,135925,66559,69366
US,LA,22065,32.3529253,-91.0448055,LA,Madison Parish,11803,5884,5919
US,LA,22067,32.8915838,-91.6192641,LA,Morehouse Parish,26739,12774,13965
US,LA,22069,31.5549424,-92.9050263,LA,Natchitoches Parish,39258,18654,20604
US,LA,22071,30.1220774,-89.7244953,LA,Orleans Parish,382922,182959,199963
US,LA,22073,32.5403093,-91.9419868,LA,Ouachita Parish,156398,74967,81431
US,LA,22075,29.4496605,-89.1349413,LA,Plaquemines Parish,23584,11585,11999
US,LA,22077,30.716461,-91.3815651,LA,Pointe Coupee Parish,22366,10791,11575
US,LA,22079,31.3278832,-92.1284391,LA,Rapides Parish,132373,63960,68413
US,LA,22081,32.002476,-93.2216235,LA,Red River Parish,8757,4230,4527
US,LA,22083,32.463941,-91.4859266,LA,Richland Parish,20692,10072,10620
US,LA,22085,31.4401713,-93.338234,LA,Sabine Parish,24144,12018,12126
US,LA,22087,29.8110785,-88.9710205,LA,St. Bernard Parish,44091,21801,22290
US,LA,22089,29.9434918,-90.2955647,LA,St. Charles Parish,52708,25783,26925
US,LA,22091,30.782018,-90.6018356,LA,St. Helena Parish,10714,5205,5509
US,LA,22093,29.9337736,-90.6745311,LA,St. James Parish,21581,10403,11178
US,LA,22095,30.1978447,-90.4203837,LA,St. John the Baptist Parish,43888,21472,22416
US,LA,22097,30.701143,-91.7530897,LA,St. Landry Parish,83699,40138,43561
US,LA,22099,29.7889208,-91.1436122,LA,St. Martin Parish,53385,26391,26994
US,LA,22101,29.688513,-91.1300079,LA,St. Mary Parish,53053,26204,26849
